county,year,totalfilings
Gibson County IN  ,2005,269
Grant County IN,2005,1044
Greene County IN  ,2005,325
Hamilton County IN,2005,1991
Hancock County IN,2005,860
Harrison County IN,2005,363
Hendricks County IN,2005,1468
Henry County IN,2005,736
Howard County IN,2005,1273
Huntington County IN,2005,443
Jackson County IN,2005,500
Jasper County IN,2005,337
Jay County IN  ,2005,211
Jefferson County IN,2005,339
Jennings County IN,2005,409
Johnson County IN,2005,1813
Knox County IN,2005,389
Kosciusko County IN,2005,811
LaGrange County IN  ,2005,200
Lake County IN,2005,7430
LaPorte County IN,2005,1537
Lawrence County IN,2005,610
Madison County IN,2005,2303
Marion County IN,2005,14519
Marshall County IN,2005,434
Martin County IN  ,2005,83
Miami County IN,2005,427
Monroe County IN,2005,878
Montgomery County IN,2005,391
Morgan County IN,2005,925
Newton County IN  ,2005,163
Noble County IN,2005,570
Ohio County IN  ,2005,68
Orange County IN  ,2005,214
Owen County IN  ,2005,274
Parke County IN  ,2005,146
Perry County IN  ,2005,176
Pike County IN  ,2005,119
Porter County IN,2005,1991
Posey County IN  ,2005,169
Pulaski County IN  ,2005,181
Putnam County IN,2005,507
Randolph County IN,2005,324
Ripley County IN  ,2005,257
Rush County IN  ,2005,212
St. Joseph County IN,2005,3313
Scott County IN  ,2005,312
Shelby County IN,2005,571
Spencer County IN  ,2005,187
Starke County IN,2005,299
Steuben County IN,2005,382
Sullivan County IN  ,2005,295
Switzerland County IN  ,2005,93
Tippecanoe County IN,2005,1267
Tipton County IN  ,2005,194
Union County IN  ,2005,95
Vanderburgh County IN,2005,1886
Vermillion County IN  ,2005,188
Vigo County IN,2005,1298
Wabash County IN,2005,430
Warren County IN  ,2005,89
Warrick County IN,2005,460
Washington County IN  ,2005,321
Wayne County IN,2005,928
Wells County IN  ,2005,250
White County IN  ,2005,280
Whitley County IN,2005,347
Adair County IA  ,2005,39
Adams County IA  ,2005,19
Allamakee County IA  ,2005,39
Appanoose County IA  ,2005,92
Audubon County IA  ,2005,24
Benton County IA  ,2005,152
Black Hawk County IA,2005,686
Boone County IA  ,2005,175
Bremer County IA  ,2005,79
Buchanan County IA  ,2005,118
Buena Vista County IA  ,2005,69
Butler County IA  ,2005,52
Calhoun County IA  ,2005,65
Carroll County IA  ,2005,83
Cass County IA  ,2005,86
Cedar County IA  ,2005,90
Cerro Gordo County IA  ,2005,236
Cherokee County IA  ,2005,73
Chickasaw County IA  ,2005,60
Clarke County IA  ,2005,70
Clay County IA  ,2005,90
Clayton County IA  ,2005,53
Clinton County IA,2005,344
Crawford County IA  ,2005,49
Dallas County IA  ,2005,263
Davis County IA  ,2005,47
Decatur County IA  ,2005,40
Delaware County IA  ,2005,65
Des Moines County IA,2005,490
Dickinson County IA  ,2005,73
Dubuque County IA,2005,452
Emmet County IA  ,2005,59
Fayette County IA  ,2005,108
Floyd County IA  ,2005,75
Franklin County IA  ,2005,40
Fremont County IA  ,2005,46
Greene County IA  ,2005,67
Grundy County IA  ,2005,32
Guthrie County IA  ,2005,74
Hamilton County IA  ,2005,90
Hancock County IA  ,2005,46
Hardin County IA  ,2005,76
Harrison County IA  ,2005,99
Henry County IA  ,2005,121
Howard County IA  ,2005,36
Humboldt County IA  ,2005,60
Ida County IA  ,2005,26
Iowa County IA  ,2005,69
Jackson County IA  ,2005,88
Jasper County IA  ,2005,257
Jefferson County IA  ,2005,136
Johnson County IA,2005,435
Jones County IA  ,2005,108
Keokuk County IA  ,2005,52
Kossuth County IA  ,2005,76
Lee County IA,2005,288
Linn County IA,2005,1361
Louisa County IA  ,2005,58
Lucas County IA  ,2005,58
Lyon County IA  ,2005,21
Madison County IA  ,2005,100
Mahaska County IA  ,2005,117
Marion County IA  ,2005,198
Marshall County IA  ,2005,208
Mills County IA  ,2005,98
Mitchell County IA  ,2005,34
Monona County IA  ,2005,68
Monroe County IA  ,2005,49
Montgomery County IA  ,2005,67
Muscatine County IA  ,2005,292
O'Brien County IA  ,2005,43
Osceola County IA  ,2005,19
Page County IA  ,2005,87
Palo Alto County IA  ,2005,43
Plymouth County IA  ,2005,106
Pocahontas County IA  ,2005,35
Polk County IA,2005,3062
Pottawattamie County IA,2005,809
Poweshiek County IA  ,2005,109
Ringgold County IA  ,2005,15
Sac County IA  ,2005,47
Scott County IA,2005,1221
Shelby County IA  ,2005,76
Sioux County IA  ,2005,45
Story County IA,2005,298
Tama County IA  ,2005,102
Taylor County IA  ,2005,37
Union County IA  ,2005,83
Van Buren County IA  ,2005,55
Wapello County IA,2005,289
Warren County IA  ,2005,289
Washington County IA  ,2005,103
Wayne County IA  ,2005,47
Webster County IA  ,2005,260
Winnebago County IA  ,2005,61
Winneshiek County IA  ,2005,47
Woodbury County IA,2005,937
Worth County IA  ,2005,42
Wright County IA  ,2005,58
Allen County KS  ,2005,78
Anderson County KS  ,2005,54
Atchison County KS  ,2005,117
Barber County KS  ,2005,41
Barton County KS  ,2005,172
Bourbon County KS  ,2005,100
Brown County KS  ,2005,59
Butler County KS,2005,603
Chase County KS  ,2005,20
Chautauqua County KS  ,2005,19
Cherokee County KS  ,2005,146
Cheyenne County KS  ,2005,17
Clark County KS  ,2005,10
Clay County KS  ,2005,49
Cloud County KS  ,2005,49
Coffey County KS  ,2005,49
Comanche County KS  ,2005,4
Cowley County KS,2005,295
Crawford County KS  ,2005,210
Decatur County KS  ,2005,15
Dickinson County KS  ,2005,146
Doniphan County KS  ,2005,63
Douglas County KS,2005,706
Edwards County KS  ,2005,19
Elk County KS  ,2005,19
Ellis County KS  ,2005,121
Ellsworth County KS  ,2005,34
Finney County KS,2005,290
Ford County KS  ,2005,166
Franklin County KS  ,2005,243
Geary County KS  ,2005,194
Gove County KS  ,2005,9
Graham County KS  ,2005,14
Grant County KS  ,2005,37
Gray County KS  ,2005,24
Greeley County KS  ,2005,10
Greenwood County KS  ,2005,56
Hamilton County KS  ,2005,9
Harper County KS  ,2005,47
Harvey County KS  ,2005,255
Haskell County KS  ,2005,37
Hodgeman County KS  ,2005,6
Jackson County KS  ,2005,151
Jefferson County KS  ,2005,184
Jewell County KS  ,2005,18
Johnson County KS,2005,3630
Kearny County KS  ,2005,24
Kingman County KS  ,2005,61
Kiowa County KS  ,2005,13
Labette County KS  ,2005,169
Lane County KS  ,2005,8
Leavenworth County KS,2005,493
Lincoln County KS  ,2005,16
Linn County KS  ,2005,70
Logan County KS  ,2005,8
Lyon County KS  ,2005,229
McPherson County KS  ,2005,203
Marion County KS  ,2005,72
Marshall County KS  ,2005,34
Meade County KS  ,2005,21
Miami County KS  ,2005,238
Mitchell County KS  ,2005,27
Montgomery County KS  ,2005,259
Morris County KS  ,2005,49
Morton County KS  ,2005,17
Nemaha County KS  ,2005,35
Neosho County KS  ,2005,114
Ness County KS  ,2005,11
Norton County KS  ,2005,20
