year,county,Divorced; Estimate; Population 15 years and over
2005,"Liberty County, Texas",10.8
2005,"Lubbock County, Texas",10.5
2005,"McLennan County, Texas",11.4
2005,"Midland County, Texas",10.2
2005,"Montgomery County, Texas",9.4
2005,"Nueces County, Texas",11.1
2005,"Orange County, Texas",11.9
2005,"Parker County, Texas",11.4
2005,"Potter County, Texas",14.2
2005,"Randall County, Texas",9.8
2005,"San Patricio County, Texas",9.1
2005,"Smith County, Texas",11.4
2005,"Tarrant County, Texas",10.7
2005,"Taylor County, Texas",12
2005,"Tom Green County, Texas",11.8
2005,"Travis County, Texas",10.9
2005,"Victoria County, Texas",11
2005,"Webb County, Texas",8.7
2005,"Wichita County, Texas",12.6
2005,"Williamson County, Texas",9.4
2005,"Cache County, Utah",5.4
2005,"Davis County, Utah",7.2
2005,"Salt Lake County, Utah",10.8
2005,"Utah County, Utah",5.3
2005,"Washington County, Utah",6.6
2005,"Weber County, Utah",10.5
2005,"Chittenden County, Vermont",12.2
2005,"Albemarle County, Virginia",11
2005,"Arlington County, Virginia",9.1
2005,"Augusta County, Virginia",8.4
2005,"Bedford County, Virginia",6.9
2005,"Chesterfield County, Virginia",8.8
2005,"Fairfax County, Virginia",7.6
2005,"Frederick County, Virginia",7.8
2005,"Hanover County, Virginia",7.4
2005,"Henrico County, Virginia",11.1
2005,"Loudoun County, Virginia",7
2005,"Montgomery County, Virginia",5.6
2005,"Prince William County, Virginia",8.1
2005,"Roanoke County, Virginia",10.4
2005,"Rockingham County, Virginia",8.2
2005,"Spotsylvania County, Virginia",8.3
2005,"Stafford County, Virginia",8.6
2005,"Alexandria city, Virginia",12.2
2005,"Chesapeake city, Virginia",8.8
2005,"Hampton city, Virginia",11.2
2005,"Lynchburg city, Virginia",11.8
2005,"Newport News city, Virginia",10.4
2005,"Norfolk city, Virginia",12.8
2005,"Portsmouth city, Virginia",11.2
2005,"Richmond city, Virginia",13
2005,"Roanoke city, Virginia",14.8
